problem                                 |round                              |level   |solved
CountryGroupHard                        |SRM 653                            |1       |False
Singing                                 |SRM 653                            |2       |False
RockPaperScissorsMagic                  |SRM 653                            |3       |False
ThePermutationGame                      |SRM 652                            |1       |False
MaliciousPath                           |SRM 652                            |2       |False
NoRightTurn                             |SRM 652                            |3       |False
TaroFillingAStringDiv1                  |SRM 650                            |1       |False
TheKingsRoadsDiv1                       |SRM 650                            |2       |False
LegendOfAdlez                           |SRM 650                            |3       |False
Decipherability                         |SRM 649                            |1       |False
XorSequence                             |SRM 649                            |2       |False
CartInSupermarket                       |SRM 649                            |3       |False
AB                                      |SRM 648                            |1       |False
KitayutaMart                            |SRM 648                            |2       |False
Fragile                                 |SRM 648                            |3       |False
BuildingTowersEasy                      |SRM 647                            |1       |False
CtuRobots                               |SRM 647                            |2       |False
ConvenientBlock                         |SRM 647                            |3       |False
TheConsecutiveIntegersDivOne            |SRM 646                            |1       |False
TheGridDivOne                           |SRM 646                            |2       |False
TheFootballDivOne                       |SRM 646                            |3       |False
JanuszTheBusinessman                    |SRM 645                            |1       |False
ArmyTeleportation                       |SRM 645                            |2       |False
AquaparkPuzzle                          |SRM 645                            |3       |False
AnEasyProblem                           |TCO 2014 Celebrity Match           |1       |False
ConcatenateNumbers                      |TCO 2014 Celebrity Match           |2       |False
CityRebuild                             |TCO 2014 Celebrity Match           |3       |False
LoopyPath                               |TCO 2014 Finals                    |1       |False
MagicalRocketCar                        |TCO 2014 Finals                    |2       |False
FrozenStandings                         |TCO 2014 Finals                    |3       |False
AndPicture                              |TCO 2014 Wildcard                  |1       |False
CountTables                             |TCO 2014 Wildcard                  |2       |False
EnergyGameOnGrid                        |TCO 2014 Wildcard                  |3       |False
PlankTiling                             |TCO 2014 Semifinal 2               |1       |False
RoadsReform                             |TCO 2014 Semifinal 2               |2       |False
TwiceTwiceTree                          |TCO 2014 Semifinal 2               |3       |False
ZooExchangeProgram                      |TCO 2014 Semifinal 1               |1       |False
AutomorphicTree                         |TCO 2014 Semifinal 1               |2       |False
CarrotField                             |TCO 2014 Semifinal 1               |3       |False
TheKingsFactorization                   |SRM 643                            |1       |False
TheKingsArmyDiv1                        |SRM 643                            |2       |False
CasinoGame                              |SRM 643                            |3       |False
WaitingForBus                           |SRM 642                            |1       |False
TaroCutting                             |SRM 642                            |2       |False
WheelofFortune                          |SRM 642                            |3       |False
ChristmasTreeDecoration                 |SRM 640                            |1       |False
MaximumBipartiteMatchingProblem         |SRM 640                            |2       |False
TwoNumberGroups                         |SRM 640                            |3       |False
AliceGame                               |SRM 639                            |1       |False
BoardFolding                            |SRM 639                            |2       |False
ElectronicPet                           |SRM 639                            |3       |False
ShadowSculpture                         |SRM 638                            |1       |False
NarrowPassage2                          |SRM 638                            |2       |False
CandleTimer                             |SRM 638                            |3       |False
GreaterGame                             |SRM 637                            |1       |False
PathGame                                |SRM 637                            |2       |False
ConnectingGame                          |SRM 637                            |3       |False
SimilarRatingGraph                      |SRM 635                            |1       |False
StoryFromTCO                            |SRM 635                            |2       |False
ColourHolic                             |SRM 635                            |3       |False
ShoppingSurveyDiv1                      |SRM 634                            |1       |False
SegmentDrawing                          |SRM 634                            |2       |False
SegmentCutting                          |SRM 634                            |3       |False
PeriodicJumping                         |SRM 633                            |1       |False
DoubleTree                              |SRM 633                            |2       |False
GCDLCM                                  |SRM 633                            |3       |False
PotentialArithmeticSequence             |SRM 632 - TCO14 Wildcard Sweep     |1       |False
CandyCupRunningCompetition              |SRM 632 - TCO14 Wildcard Sweep     |2       |False
PatternLock                             |SRM 632 - TCO14 Wildcard Sweep     |3       |False
TaroJiroGrid                            |SRM 631                            |1       |False
CatsOnTheLineDiv1                       |SRM 631                            |1       |False
TaroTreeRequests                        |SRM 631                            |3       |False
Egalitarianism3                         |SRM 630                            |1       |False
SuffixArrayDiv1                         |SRM 630                            |2       |False
NeverAskHerAge                          |SRM 630                            |3       |False
RectangleCovering                       |SRM 629                            |1       |False
CandyCollection                         |SRM 629                            |2       |False
CandyDrawing                            |SRM 629                            |3       |False
IntoTheMatrix                           |TCO14 Parallel Round 3B            |1       |False
OnePointNineNine                        |TCO14 Parallel Round 3B            |2       |False
TreeDistance                            |TCO14 Parallel Round 3B            |3       |False
IntoTheMatrix                           |TCO14 Round 3B                     |1       |False
OnePointNineNine                        |TCO14 Round 3B                     |2       |False
TreeDistance                            |TCO14 Round 3B                     |3       |False
BrightLamps                             |TCO14 Round 3A                     |1       |False
RandomFlights                           |TCO14 Round 3A                     |2       |False
PlumbersCoins                           |TCO14 Round 3A                     |3       |False
SubstringReversal                       |TCO14 Parallel Round 2C            |1       |False
CliqueGraph                             |TCO14 Parallel Round 2C            |2       |False
InverseRMQ                              |TCO14 Parallel Round 2C            |3       |False
SubstringReversal                       |TCO14 Round 2C                     |1       |False
CliqueGraph                             |TCO14 Round 2C                     |2       |False
InverseRMQ                              |TCO14 Round 2C                     |3       |False
DivisorsPower                           |SRM 628                            |1       |False
CircuitsConstruction                    |SRM 628                            |2       |False
DoraemonPuzzleGame                      |SRM 628                            |3       |False
HappyLetterDiv1                         |SRM 627                            |1       |False
GraphInversions                         |SRM 627                            |2       |False
LaserTowersDiv1                         |SRM 627                            |3       |False
SwitchingGame                           |TCO14 Parallel Round 2B            |1       |False
SumAndProductPuzzle                     |TCO14 Parallel Round 2B            |2       |False
AlwaysDefined                           |TCO14 Parallel Round 2B            |3       |False
SwitchingGame                           |TCO14 Round 2B                     |1       |False
SumAndProductPuzzle                     |TCO14 Round 2B                     |2       |False
AlwaysDefined                           |TCO14 Round 2B                     |3       |False
SixteenBricks                           |TCO14 Round 2A                     |1       |False
NarrowPassage                           |TCO14 Round 2A                     |2       |False
